The given date: 2017.01.01
The given number of days: 5
The request were made at: 
The temperature in Fahrenheit: -8
The temperature in Celsius: -8
The temperature in Fahrenheit: 17.6
The temperature in Kelvin: 265.15
The temperature in Fahrenheit: -5
The temperature in Celsius: -5
The temperature in Fahrenheit: 23
The temperature in Kelvin: 268.15
The temperature in Fahrenheit: 0
The temperature in Celsius: 0
The temperature in Fahrenheit: 32
The temperature in Kelvin: 273.15
The temperature in Fahrenheit: 6
The temperature in Celsius: 6
The temperature in Fahrenheit: 42.8
The temperature in Kelvin: 279.15
The temperature in Fahrenheit: -3
The temperature in Celsius: -3
The temperature in Fahrenheit: 26.6
The temperature in Kelvin: 270.15
The temperature in Fahrenheit: 5
The temperature in Celsius: 5
The temperature in Fahrenheit: 41
The temperature in Kelvin: 278.15
The temperature in Fahrenheit: -8
The temperature in Celsius: -8
The temperature in Fahrenheit: 17.6
The temperature in Kelvin: 265.15
The temperature in Fahrenheit: 0
The temperature in Celsius: 0
The temperature in Fahrenheit: 32
The temperature in Kelvin: 273.15
The temperature in Fahrenheit: 3
The temperature in Celsius: 3
The temperature in Fahrenheit: 37.4
The temperature in Kelvin: 276.15
The temperature in Fahrenheit: -2
The temperature in Celsius: -2
The temperature in Fahrenheit: 28.4
The temperature in Kelvin: 271.15
The temperature in Fahrenheit: -2
The temperature in Celsius: -2
The temperature in Fahrenheit: 28.4
The temperature in Kelvin: 271.15
The temperature in Fahrenheit: 5
The temperature in Celsius: 5
The temperature in Fahrenheit: 41
The temperature in Kelvin: 278.15
The temperature in Fahrenheit: 2
The temperature in Celsius: 2
The temperature in Fahrenheit: 35.6
The temperature in Kelvin: 275.15
The temperature in Fahrenheit: -4
The temperature in Celsius: -4
The temperature in Fahrenheit: 24.8
The temperature in Kelvin: 269.15
The temperature in Fahrenheit: -7
The temperature in Celsius: -7
The temperature in Fahrenheit: 19.4
The temperature in Kelvin: 266.15
The temperature in Fahrenheit: -2
The temperature in Celsius: -2
The temperature in Fahrenheit: 28.4
The temperature in Kelvin: 271.15
The temperature in Fahrenheit: -2
The temperature in Celsius: -2
The temperature in Fahrenheit: 28.4
The temperature in Kelvin: 271.15
The temperature in Fahrenheit: -5
The temperature in Celsius: -5
The temperature in Fahrenheit: 23
The temperature in Kelvin: 268.15
The temperature in Fahrenheit: -10
The temperature in Celsius: -10
The temperature in Fahrenheit: 14
The temperature in Kelvin: 263.15
The temperature in Fahrenheit: 5
The temperature in Celsius: 5
The temperature in Fahrenheit: 41
The temperature in Kelvin: 278.15
The temperature in Fahrenheit: -5
The temperature in Celsius: -5
The temperature in Fahrenheit: 23
The temperature in Kelvin: 268.15
The temperature in Fahrenheit: -2
The temperature in Celsius: -2
The temperature in Fahrenheit: 28.4
The temperature in Kelvin: 271.15
The temperature in Fahrenheit: 5
The temperature in Celsius: 5
The temperature in Fahrenheit: 41
The temperature in Kelvin: 278.15
The temperature in Fahrenheit: -9
The temperature in Celsius: -9
The temperature in Fahrenheit: 15.8
The temperature in Kelvin: 264.15
The temperature in Fahrenheit: 7
The temperature in Celsius: 7
The temperature in Fahrenheit: 44.6
The temperature in Kelvin: 280.15
The temperature in Fahrenheit: 0
The temperature in Celsius: 0
The temperature in Fahrenheit: 32
The temperature in Kelvin: 273.15
The temperature in Fahrenheit: 9
The temperature in Celsius: 9
The temperature in Fahrenheit: 48.2
The temperature in Kelvin: 282.15
The temperature in Fahrenheit: 1
The temperature in Celsius: 1
The temperature in Fahrenheit: 33.8
The temperature in Kelvin: 274.15
The temperature in Fahrenheit: -2
The temperature in Celsius: -2
The temperature in Fahrenheit: 28.4
The temperature in Kelvin: 271.15
The temperature in Fahrenheit: -1
The temperature in Celsius: -1
The temperature in Fahrenheit: 30.2
The temperature in Kelvin: 272.15
The temperature in Fahrenheit: -8
The temperature in Celsius: -8
The temperature in Fahrenheit: 17.6
The temperature in Kelvin: 265.15
The temperature in Fahrenheit: -1
The temperature in Celsius: -1
The temperature in Fahrenheit: 30.2
The temperature in Kelvin: 272.15
The temperature in Fahrenheit: -3
The temperature in Celsius: -3
The temperature in Fahrenheit: 26.6
The temperature in Kelvin: 270.15
The temperature in Fahrenheit: 1
The temperature in Celsius: 1
The temperature in Fahrenheit: 33.8
The temperature in Kelvin: 274.15
The temperature in Fahrenheit: -6
The temperature in Celsius: -6
The temperature in Fahrenheit: 21.2
The temperature in Kelvin: 267.15
The temperature in Fahrenheit: -10
The temperature in Celsius: -10
The temperature in Fahrenheit: 14
The temperature in Kelvin: 263.15
The temperature in Fahrenheit: -8
The temperature in Celsius: -8
The temperature in Fahrenheit: 17.6
The temperature in Kelvin: 265.15
The temperature in Fahrenheit: 0
The temperature in Celsius: 0
The temperature in Fahrenheit: 32
The temperature in Kelvin: 273.15
The temperature in Fahrenheit: -2
The temperature in Celsius: -2
The temperature in Fahrenheit: 28.4
The temperature in Kelvin: 271.15
The temperature in Fahrenheit: 7
The temperature in Celsius: 7
The temperature in Fahrenheit: 44.6
The temperature in Kelvin: 280.15
The temperature in Fahrenheit: -8
The temperature in Celsius: -8
The temperature in Fahrenheit: 17.6
The temperature in Kelvin: 265.15
The temperature in Fahrenheit: 0
The temperature in Celsius: 0
The temperature in Fahrenheit: 32
The temperature in Kelvin: 273.15
The temperature in Fahrenheit: -5
The temperature in Celsius: -5
The temperature in Fahrenheit: 23
The temperature in Kelvin: 268.15
The temperature in Fahrenheit: -1
The temperature in Celsius: -1
The temperature in Fahrenheit: 30.2
The temperature in Kelvin: 272.15
The temperature in Fahrenheit: 5
The temperature in Celsius: 5
The temperature in Fahrenheit: 41
The temperature in Kelvin: 278.15
The temperature in Fahrenheit: -6
The temperature in Celsius: -6
The temperature in Fahrenheit: 21.2
The temperature in Kelvin: 267.15
The temperature in Fahrenheit: 7
The temperature in Celsius: 7
The temperature in Fahrenheit: 44.6
The temperature in Kelvin: 280.15
The temperature in Fahrenheit: -8
The temperature in Celsius: -8
The temperature in Fahrenheit: 17.6
The temperature in Kelvin: 265.15
The temperature in Fahrenheit: -5
The temperature in Celsius: -5
The temperature in Fahrenheit: 23
The temperature in Kelvin: 268.15
The temperature in Fahrenheit: 3
The temperature in Celsius: 3
The temperature in Fahrenheit: 37.4
The temperature in Kelvin: 276.15
The temperature in Fahrenheit: -3
The temperature in Celsius: -3
The temperature in Fahrenheit: 26.6
The temperature in Kelvin: 270.15
